Fecha,PIB_growth,PIBpc_growth,Inflacion,Desempleo,Rating,VIX,Oro,Plata,Gas,OIS,y_regression,y_classification
2009-08-01,-4.587408192263243,-5.306377777637805,1.961731735601091,7.683,8.5,26.01,949.375,14.3567,6.92,0.4229741935483871,0.5,Estable
2009-09-01,-4.587408192263243,-5.306377777637805,1.961731735601091,7.683,8.5,25.61,996.591,16.3895,7.13,0.43091,0.5,Estable
2009-10-01,-4.587408192263243,-5.306377777637805,1.961731735601091,7.683,8.5,30.69,1043.159,17.2361,7.6,0.4477806451612903,0.5,Estable
2009-11-01,-4.587408192263243,-5.306377777637805,1.961731735601091,7.683,8.5,24.51,1127.036,17.8213,7.81,0.4509133333333333,0.5,Estable
2009-12-01,-4.587408192263243,-5.306377777637805,1.961731735601091,7.683,8.5,21.68,1134.724,17.6422,8.01,0.4497741935483871,0.5,Estable
2010-01-01,2.260544609315862,1.4620694768097353,2.492654724670655,7.973,8.5,24.62,1117.963,17.749,8.8,0.4541870967741935,0.5,Estable
2010-02-01,2.260544609315862,1.4620694768097353,2.492654724670655,7.973,8.5,19.5,1095.413,15.873,8.8,0.4677892857142857,0.5,Estable
2010-03-01,2.260544609315862,1.4620694768097353,2.492654724670655,7.973,8.5,17.59,1113.337,17.1061,8.93,0.4715096774193548,0.5,Estable
2010-04-01,2.260544609315862,1.4620694768097353,2.492654724670655,7.973,8.5,22.05,1148.688,18.0623,7.52,0.4725233333333333,0.5,Estable
2010-05-01,2.260544609315862,1.4620694768097353,2.492654724670655,7.973,8.5,32.07,1205.434,18.4333,7.27,0.4842838709677419,0.5,Estable
2010-06-01,2.260544609315862,1.4620694768097353,2.492654724670655,7.973,8.5,34.54,1232.92,18.4548,7.74,0.4868766666666666,0.5,Estable
2010-07-01,2.260544609315862,1.4620694768097353,2.492654724670655,7.973,8.5,23.5,1192.966,17.9605,8.04,0.4897806451612903,0.5,Estable
2010-08-01,2.260544609315862,1.4620694768097353,2.492654724670655,7.973,8.5,26.05,1215.81,18.3877,8.45,0.4916612903225806,0.5,Estable
2010-09-01,2.260544609315862,1.4620694768097353,2.492654724670655,7.973,8.5,23.7,1270.977,20.5498,8.28,0.5012566666666667,0.5,Estable
2010-10-01,2.260544609315862,1.4620694768097353,2.492654724670655,7.973,8.5,21.2,1342.024,23.3933,8.29,0.5094741935483871,0.5,Estable
2010-11-01,2.260544609315862,1.4620694768097353,2.492654724670655,7.973,8.5,23.54,1369.886,26.5409,8.59,0.5089366666666667,0.5,Estable
2010-12-01,2.260544609315862,1.4620694768097353,2.492654724670655,7.973,8.5,17.75,1390.553,29.3248,8.74,0.5171387096774194,0.5,Estable
2011-01-01,0.851437739020322,0.06634889119987442,3.8561124468282,8.195,8.5,19.53,1360.46,28.5086,9.61,0.5094258064516128,0.5,Estable
2011-02-01,0.851437739020322,0.06634889119987442,3.8561124468282,8.195,8.5,18.35,1374.68,30.7785,9.36,0.5092642857142857,0.5,Estable
