Fecha,tipo_oficial,OIS,Oro,Plata,Gas,VIX,PIB,PIBpc,Inflacion,Desempleo,Rating
2003-01-01,1.7500000000000002,1.7500000000000002,356.859,4.8062,3.61,31.17,2101781729496.0,33719.65462677498,1.9416410047873225,8.937216867469878,8.09
2003-02-01,1.7500000000000002,1.7500000000000002,358.97,4.6551,3.67,29.63,2101781729496.0,33719.65462677498,1.9416410047873225,8.937216867469878,8.09
2003-03-01,1.5483870967741935,1.5483870967741935,340.55,4.5283,3.74,29.15,2101781729496.0,33719.65462677498,1.9416410047873225,8.937216867469878,8.09
2003-04-01,1.5,1.5,328.18,4.4932,4.03,21.21,2101781729496.0,33719.65462677498,1.9416410047873225,8.937216867469878,8.09
2003-05-01,1.5,1.5,355.683,4.7413,4.04,19.47,2101781729496.0,33719.65462677498,1.9416410047873225,8.937216867469878,8.09
2003-06-01,1.0833333333333333,1.0833333333333333,356.352,4.5262,4.05,19.52,2101781729496.0,33719.65462677498,1.9416410047873225,8.937216867469878,8.09
2003-07-01,1.0,1.0,351.02,4.797,4.04,19.49,2101781729496.0,33719.65462677498,1.9416410047873225,8.937216867469878,8.09
2003-08-01,1.0,1.0,359.768,4.9893,3.98,18.63,2101781729496.0,33719.65462677498,1.9416410047873225,8.937216867469878,8.09
2003-09-01,1.0,1.0,378.945,5.1708,3.97,22.72,2101781729496.0,33719.65462677498,1.9416410047873225,8.937216867469878,8.09
2003-10-01,1.0,1.0,378.92,5.0022,3.88,16.1,2101781729496.0,33719.65462677498,1.9416410047873225,8.937216867469878,8.09
2003-11-01,1.0,1.0,389.91,5.1777,3.9,16.32,2101781729496.0,33719.65462677498,1.9416410047873225,8.937216867469878,8.09
2003-12-01,1.0,1.0,406.953,5.6276,3.97,18.31,2101781729496.0,33719.65462677498,1.9416410047873225,8.937216867469878,8.09
2004-01-01,1.0,1.0,413.788,6.3005,3.87,16.63,2139198929640.8567,34189.48370036146,2.026412286761656,9.308337349397588,8.09
2004-02-01,1.0,1.0,404.878,6.4406,3.89,14.55,2139198929640.8567,34189.48370036146,2.026412286761656,9.308337349397588,8.09
2004-03-01,1.0,1.0,406.667,7.2254,3.86,16.74,2139198929640.8567,34189.48370036146,2.026412286761656,9.308337349397588,8.09
2004-04-01,1.0,1.0,403.26,7.1486,3.92,17.19,2139198929640.8567,34189.48370036146,2.026412286761656,9.308337349397588,8.09
2004-05-01,1.0,1.0,383.779,5.8674,3.95,15.5,2139198929640.8567,34189.48370036146,2.026412286761656,9.308337349397588,8.09
2004-06-01,1.0,1.0,392.373,5.8618,4.01,14.34,2139198929640.8567,34189.48370036146,2.026412286761656,9.308337349397588,8.09
2004-07-01,1.0,1.0,398.091,6.3141,4.28,15.32,2139198929640.8567,34189.48370036146,2.026412286761656,9.308337349397588,8.09
2004-08-01,1.0,1.0,400.51,6.66,4.34,15.29,2139198929640.8567,34189.48370036146,2.026412286761656,9.308337349397588,8.09
2004-09-01,1.0,1.0,405.275,6.4034,4.41,13.34,2139198929640.8567,34189.48370036146,2.026412286761656,9.308337349397588,8.09
2004-10-01,1.0,1.0,420.464,7.095,4.83,16.27,2139198929640.8567,34189.48370036146,2.026412286761656,9.308337349397588,8.09
2004-11-01,1.0,1.0,439.375,7.4926,4.96,13.24,2139198929640.8567,34189.48370036146,2.026412286761656,9.308337349397588,8.09
2004-12-01,1.0,1.0,442.079,7.085,5.01,13.29,2139198929640.8567,34189.48370036146,2.026412286761656,9.308337349397588,8.09
2005-01-01,1.0,1.0,424.03,6.619,5.46,12.82,2167523210838.6199,34540.68743518601,1.9274455759531128,9.29024096385542,8.09
2005-02-01,1.0,1.0,423.35,7.03,5.49,12.08,2167523210838.6199,34540.68743518601,1.9274455759531128,9.29024096385542,8.09
2005-03-01,1.0,1.0,433.85,7.2282,5.52,14.02,2167523210838.6199,34540.68743518601,1.9274455759531128,9.29024096385542,8.09
2005-04-01,1.0,1.0,429.233,7.1188,5.86,15.31,2167523210838.6199,34540.68743518601,1.9274455759531128,9.29024096385542,8.09
2005-05-01,1.0,1.0,421.873,7.0224,5.89,13.29,2167523210838.6199,34540.68743518601,1.9274455759531128,9.29024096385542,8.09
2005-06-01,1.0,1.0,430.657,7.3105,5.91,12.04,2167523210838.6199,34540.68743518601,1.9274455759531128,9.29024096385542,8.09
2005-07-01,1.0,1.0,424.479,7.0145,6.42,11.57,2167523210838.6199,34540.68743518601,1.9274455759531128,9.29024096385542,8.09
2005-08-01,1.0,1.0,437.93,7.0334,6.56,12.6,2167523210838.6199,34540.68743518601,1.9274455759531128,9.29024096385542,8.09
2005-09-01,1.0,1.0,456.048,7.1536,6.58,11.92,2167523210838.6199,34540.68743518601,1.9274455759531128,9.29024096385542,8.09
2005-10-01,1.0,1.0,469.898,7.6705,7.28,15.32,2167523210838.6199,34540.68743518601,1.9274455759531128,9.29024096385542,8.09
2005-11-01,1.0,1.0,476.666,7.8725,7.46,12.06,2167523210838.6199,34540.68743518601,1.9274455759531128,9.29024096385542,8.09
2005-12-01,1.2096774193548387,1.2096774193548387,510.097,8.627,7.49,12.07,2167523210838.6199,34540.68743518601,1.9274455759531128,9.29024096385542,8.09
2006-01-01,1.25,1.25,549.864,9.1391,7.96,12.95,2238019171795.916,35512.768376449734,1.910479305224108,8.609951807228914,8.09
2006-02-01,1.25,1.25,554.995,9.5349,7.95,12.34,2238019171795.916,35512.768376449734,1.910479305224108,8.609951807228914,8.09
2006-03-01,1.4435483870967742,1.4435483870967742,557.093,10.3838,7.99,11.39,2238019171795.916,35512.768376449734,1.910479305224108,8.609951807228914,8.09
2006-04-01,1.5,1.5,610.653,12.6144,8.24,11.59,2238019171795.916,35512.768376449734,1.910479305224108,8.609951807228914,8.09
2006-05-01,1.5,1.5,675.393,13.3772,8.28,16.44,2238019171795.916,35512.768376449734,1.910479305224108,8.609951807228914,8.09
2006-06-01,1.6333333333333333,1.6333333333333333,596.145,10.7964,8.29,13.08,2238019171795.916,35512.768376449734,1.910479305224108,8.609951807228914,8.09
2006-07-01,1.7500000000000002,1.7500000000000002,633.71,11.2324,8.58,14.95,2238019171795.916,35512.768376449734,1.910479305224108,8.609951807228914,8.09
2006-08-01,1.935483870967742,1.935483870967742,632.593,12.1874,8.71,12.31,2238019171795.916,35512.768376449734,1.910479305224108,8.609951807228914,8.09
2006-09-01,2.0,2.0,598.186,11.6769,8.77,11.98,2238019171795.916,35512.768376449734,1.910479305224108,8.609951807228914,8.09
2006-10-01,2.1693548387096775,2.1693548387096775,585.78,11.5586,8.97,11.1,2238019171795.916,35512.768376449734,1.910479305224108,8.609951807228914,8.09
2006-11-01,2.25,2.25,627.827,12.9311,8.99,10.91,2238019171795.916,35512.768376449734,1.910479305224108,8.609951807228914,8.09
2006-12-01,2.403225806451613,2.403225806451613,629.791,13.2786,8.92,11.56,2238019171795.916,35512.768376449734,1.910479305224108,8.609951807228914,8.09
2007-01-01,2.5,2.5,631.166,12.8413,8.59,10.42,2297239377600.6147,36331.080645556925,2.025399764531425,7.625096385542167,8.09
