Fecha,PIB_growth,PIBpc_growth,Inflacion,Desempleo,Rating,VIX,Oro,Plata,Gas,OIS,y_regression,y_classification
2005-10-01,1.3240601799720642,1.0272273717337077,1.9274455759531128,9.29024096385542,8.09,15.32,469.898,7.6705,7.28,1.0,1.0,Estable
2005-11-01,1.3240601799720642,1.0272273717337077,1.9274455759531128,9.29024096385542,8.09,12.06,476.666,7.8725,7.46,1.0,1.2096774193548387,Sube
2005-12-01,1.3240601799720642,1.0272273717337077,1.9274455759531128,9.29024096385542,8.09,12.07,510.097,8.627,7.49,1.2096774193548387,1.25,Estable
2006-01-01,3.252373981731016,2.814306875298267,1.910479305224108,8.609951807228914,8.09,12.95,549.864,9.1391,7.96,1.25,1.25,Estable
2006-02-01,3.252373981731016,2.814306875298267,1.910479305224108,8.609951807228914,8.09,12.34,554.995,9.5349,7.95,1.25,1.4435483870967742,Sube
2006-03-01,3.252373981731016,2.814306875298267,1.910479305224108,8.609951807228914,8.09,11.39,557.093,10.3838,7.99,1.4435483870967742,1.5,Estable
2006-04-01,3.252373981731016,2.814306875298267,1.910479305224108,8.609951807228914,8.09,11.59,610.653,12.6144,8.24,1.5,1.5,Estable
2006-05-01,3.252373981731016,2.814306875298267,1.910479305224108,8.609951807228914,8.09,16.44,675.393,13.3772,8.28,1.5,1.6333333333333333,Sube
2006-06-01,3.252373981731016,2.814306875298267,1.910479305224108,8.609951807228914,8.09,13.08,596.145,10.7964,8.29,1.6333333333333333,1.7500000000000002,Estable
2006-07-01,3.252373981731016,2.814306875298267,1.910479305224108,8.609951807228914,8.09,14.95,633.71,11.2324,8.58,1.7500000000000002,1.935483870967742,Sube
2006-08-01,3.252373981731016,2.814306875298267,1.910479305224108,8.609951807228914,8.09,12.31,632.593,12.1874,8.71,1.935483870967742,2.0,Estable
2006-09-01,3.252373981731016,2.814306875298267,1.910479305224108,8.609951807228914,8.09,11.98,598.186,11.6769,8.77,2.0,2.169354838709677,Sube
2006-10-01,3.252373981731016,2.814306875298267,1.910479305224108,8.609951807228914,8.09,11.1,585.78,11.5586,8.97,2.169354838709677,2.25,Estable
2006-11-01,3.252373981731016,2.814306875298267,1.910479305224108,8.609951807228914,8.09,10.91,627.827,12.9311,8.99,2.25,2.403225806451613,Sube
2006-12-01,3.252373981731016,2.814306875298267,1.910479305224108,8.609951807228914,8.09,11.56,629.791,13.2786,8.92,2.403225806451613,2.5,Estable
2007-01-01,2.6460991286851643,2.3042761984443105,2.025399764531425,7.625096385542167,8.09,10.42,631.166,12.8413,8.59,2.5,2.5,Estable
2007-02-01,2.6460991286851643,2.3042761984443105,2.025399764531425,7.625096385542167,8.09,15.42,664.745,13.91,8.56,2.5,2.6451612903225805,Sube
2007-03-01,2.6460991286851643,2.3042761984443105,2.025399764531425,7.625096385542167,8.09,14.64,654.895,13.1843,8.37,2.6451612903225805,2.75,Estable
2007-04-01,2.6460991286851643,2.3042761984443105,2.025399764531425,7.625096385542167,8.09,14.22,679.368,13.7233,8.0,2.75,2.75,Estable
2007-05-01,2.6460991286851643,2.3042761984443105,2.025399764531425,7.625096385542167,8.09,13.05,667.31,13.1478,7.98,2.75,2.9,Sube
2007-06-01,2.6460991286851643,2.3042761984443105,2.025399764531425,7.625096385542167,8.09,16.23,655.66,13.1443,8.03,2.9,3.0,Estable
2007-07-01,2.6460991286851643,2.3042761984443105,2.025399764531425,7.625096385542167,8.09,23.52,665.38,12.9093,8.13,3.0,3.0,Estable
2007-08-01,2.6460991286851643,2.3042761984443105,2.025399764531425,7.625096385542167,8.09,23.38,665.411,12.3343,8.34,3.0,3.0,Estable
2007-09-01,2.6460991286851643,2.3042761984443105,2.025399764531425,7.625096385542167,8.09,18.0,712.653,12.8335,8.54,3.0,3.0,Estable
2007-10-01,2.6460991286851643,2.3042761984443105,2.025399764531425,7.625096385542167,8.09,18.53,754.604,13.6704,9.16,3.0,3.0,Estable
2007-11-01,2.6460991286851643,2.3042761984443105,2.025399764531425,7.625096385542167,8.09,22.87,806.248,14.7016,9.47,3.0,3.0,Estable
2007-12-01,2.6460991286851643,2.3042761984443105,2.025399764531425,7.625096385542167,8.09,22.5,803.203,14.3036,9.49,3.0,3.0,Estable
2008-01-01,0.4872921464892155,0.1674969235203383,2.9826555791547618,7.508493975903613,8.09,26.2,889.595,15.9089,10.7,3.0,3.0,Estable
2008-02-01,0.4872921464892155,0.1674969235203383,2.9826555791547618,7.508493975903613,8.09,26.54,922.298,17.569,10.84,3.0,3.0,Estable
2008-03-01,0.4872921464892155,0.1674969235203383,2.9826555791547618,7.508493975903613,8.09,25.61,968.434,19.3174,11.04,3.0,3.0,Estable
2008-04-01,0.4872921464892155,0.1674969235203383,2.9826555791547618,7.508493975903613,8.09,20.79,909.705,17.5,12.19,3.0,3.0,Estable
2008-05-01,0.4872921464892155,0.1674969235203383,2.9826555791547618,7.508493975903613,8.09,17.83,888.663,17.06,12.38,3.0,3.0,Estable
2008-06-01,0.4872921464892155,0.1674969235203383,2.9826555791547618,7.508493975903613,8.09,23.95,889.488,16.969,12.63,3.0,3.185483870967742,Sube
2008-07-01,0.4872921464892155,0.1674969235203383,2.9826555791547618,7.508493975903613,8.09,22.94,939.772,18.0339,14.37,3.185483870967742,3.25,Estable
2008-08-01,0.4872921464892155,0.1674969235203383,2.9826555791547618,7.508493975903613,8.09,20.65,839.025,14.635,14.64,3.25,3.25,Estable
2008-09-01,0.4872921464892155,0.1674969235203383,2.9826555791547618,7.508493975903613,8.09,39.39,829.932,12.373,14.85,3.25,3.2338709677419355,Estable
2008-10-01,0.4872921464892155,0.1674969235203383,2.9826555791547618,7.508493975903613,8.09,59.89,806.62,10.4413,15.93,3.2338709677419355,2.933333333333333,Baja
2008-11-01,0.4872921464892155,0.1674969235203383,2.9826555791547618,7.508493975903613,8.09,55.28,760.863,9.8652,15.81,2.933333333333333,2.217741935483871,Baja
2008-12-01,0.4872921464892155,0.1674969235203383,2.9826555791547618,7.508493975903613,8.09,40.0,816.092,10.2857,15.5,2.217741935483871,1.6451612903225807,Baja
2009-01-01,-4.665355506335523,-4.729482862360468,0.3363686256341461,9.180313253012049,8.09,44.84,858.69,11.2682,13.89,1.6451612903225807,1.0,Baja
2009-02-01,-4.665355506335523,-4.729482862360468,0.3363686256341461,9.180313253012049,8.09,46.35,943.0,13.4125,11.04,1.0,0.6612903225806451,Baja
2009-03-01,-4.665355506335523,-4.729482862360468,0.3363686256341461,9.180313253012049,8.09,44.14,924.273,13.1168,10.9,0.6612903225806451,0.3083333333333333,Baja
2009-04-01,-4.665355506335523,-4.729482862360468,0.3363686256341461,9.180313253012049,8.09,36.5,890.2,12.4793,8.51,0.3083333333333333,0.25,Estable
2009-05-01,-4.665355506335523,-4.729482862360468,0.3363686256341461,9.180313253012049,8.09,28.92,928.645,13.9838,8.09,0.25,0.25,Estable
2009-06-01,-4.665355506335523,-4.729482862360468,0.3363686256341461,9.180313253012049,8.09,26.35,945.67,14.6543,7.95,0.25,0.25,Estable
2009-07-01,-4.665355506335523,-4.729482862360468,0.3363686256341461,9.180313253012049,8.09,25.92,934.228,13.3617,6.67,0.25,0.25,Estable
2009-08-01,-4.665355506335523,-4.729482862360468,0.3363686256341461,9.180313253012049,8.09,26.01,949.375,14.3567,6.92,0.25,0.25,Estable
2009-09-01,-4.665355506335523,-4.729482862360468,0.3363686256341461,9.180313253012049,8.09,25.61,996.591,16.3895,7.13,0.25,0.25,Estable
2009-10-01,-4.665355506335523,-4.729482862360468,0.3363686256341461,9.180313253012049,8.09,30.69,1043.159,17.2361,7.6,0.25,0.25,Estable
2009-11-01,-4.665355506335523,-4.729482862360468,0.3363686256341461,9.180313253012049,8.09,24.51,1127.036,17.8213,7.81,0.25,0.25,Estable
2009-12-01,-4.665355506335523,-4.729482862360468,0.3363686256341461,9.180313253012049,8.09,21.68,1134.724,17.6422,8.01,0.25,0.25,Estable
2010-01-01,2.8313317033891616,2.247056566549066,1.389700674190732,9.345927710843371,8.09,24.62,1117.963,17.749,8.8,0.25,0.25,Estable
2010-02-01,2.8313317033891616,2.247056566549066,1.389700674190732,9.345927710843371,8.09,19.5,1095.413,15.873,8.8,0.25,0.25,Estable
2010-03-01,2.8313317033891616,2.247056566549066,1.389700674190732,9.345927710843371,8.09,17.59,1113.337,17.1061,8.93,0.25,0.25,Estable
2010-04-01,2.8313317033891616,2.247056566549066,1.389700674190732,9.345927710843371,8.09,22.05,1148.688,18.0623,7.52,0.25,0.25,Estable
2010-05-01,2.8313317033891616,2.247056566549066,1.389700674190732,9.345927710843371,8.09,32.07,1205.434,18.4333,7.27,0.25,0.25,Estable
2010-06-01,2.8313317033891616,2.247056566549066,1.389700674190732,9.345927710843371,8.09,34.54,1232.92,18.4548,7.74,0.25,0.25,Estable
2010-07-01,2.8313317033891616,2.247056566549066,1.389700674190732,9.345927710843371,8.09,23.5,1192.966,17.9605,8.04,0.25,0.25,Estable
2010-08-01,2.8313317033891616,2.247056566549066,1.389700674190732,9.345927710843371,8.09,26.05,1215.81,18.3877,8.45,0.25,0.25,Estable
2010-09-01,2.8313317033891616,2.247056566549066,1.389700674190732,9.345927710843371,8.09,23.7,1270.977,20.5498,8.28,0.25,0.25,Estable
2010-10-01,2.8313317033891616,2.247056566549066,1.389700674190732,9.345927710843371,8.09,21.2,1342.024,23.3933,8.29,0.25,0.25,Estable
2010-11-01,2.8313317033891616,2.247056566549066,1.389700674190732,9.345927710843371,8.09,23.54,1369.886,26.5409,8.59,0.25,0.25,Estable
2010-12-01,2.8313317033891616,2.247056566549066,1.389700674190732,9.345927710843371,8.09,17.75,1390.553,29.3248,8.74,0.25,0.25,Estable
2011-01-01,2.601624910581868,2.8080539162713913,2.382424663879201,9.145590361445782,8.09,19.53,1360.46,28.5086,9.61,0.25,0.25,Estable
2011-02-01,2.601624910581868,2.8080539162713913,2.382424663879201,9.145590361445782,8.09,18.35,1374.68,30.7785,9.36,0.25,0.25,Estable
2011-03-01,2.601624910581868,2.8080539162713913,2.382424663879201,9.145590361445782,8.09,17.74,1423.26,35.8135,9.37,0.25,0.4,Sube
2011-04-01,2.601624910581868,2.8080539162713913,2.382424663879201,9.145590361445782,8.09,14.75,1480.89,42.6952,10.36,0.4,0.5,Estable
