Fecha,tipo_oficial,OIS,Oro,Plata,Gas,VIX,PIB,PIBpc,Inflacion,Desempleo,Rating
2009-04-01,0.5,0.4088233333333333,890.2,12.4793,8.51,36.5,2624727410659.6426,42146.50958799624,1.961731735601091,7.683,8.5
2009-05-01,0.5,0.41577096774193545,928.645,13.9838,8.09,28.92,2624727410659.6426,42146.50958799624,1.961731735601091,7.683,8.5
2009-06-01,0.5,0.41605000000000003,945.67,14.6543,7.95,26.35,2624727410659.6426,42146.50958799624,1.961731735601091,7.683,8.5
2009-07-01,0.5,0.41851935483870967,934.228,13.3617,6.67,25.92,2624727410659.6426,42146.50958799624,1.961731735601091,7.683,8.5
2009-08-01,0.5,0.4229741935483871,949.375,14.3567,6.92,26.01,2624727410659.6426,42146.50958799624,1.961731735601091,7.683,8.5
2009-09-01,0.5,0.43091,996.591,16.3895,7.13,25.61,2624727410659.6426,42146.50958799624,1.961731735601091,7.683,8.5
2009-10-01,0.5,0.4477806451612903,1043.159,17.2361,7.6,30.69,2624727410659.6426,42146.50958799624,1.961731735601091,7.683,8.5
2009-11-01,0.5,0.45091333333333333,1127.036,17.8213,7.81,24.51,2624727410659.6426,42146.50958799624,1.961731735601091,7.683,8.5
2009-12-01,0.5,0.4497741935483871,1134.724,17.6422,8.01,21.68,2624727410659.6426,42146.50958799624,1.961731735601091,7.683,8.5
2010-01-01,0.5,0.4541870967741935,1117.963,17.749,8.8,24.62,2684060544650.545,42762.720840223024,2.492654724670655,7.973,8.5
2010-02-01,0.5,0.46778928571428574,1095.413,15.873,8.8,19.5,2684060544650.545,42762.720840223024,2.492654724670655,7.973,8.5
2010-03-01,0.5,0.47150967741935484,1113.337,17.1061,8.93,17.59,2684060544650.545,42762.720840223024,2.492654724670655,7.973,8.5
2010-04-01,0.5,0.47252333333333335,1148.688,18.0623,7.52,22.05,2684060544650.545,42762.720840223024,2.492654724670655,7.973,8.5
2010-05-01,0.5,0.48428387096774195,1205.434,18.4333,7.27,32.07,2684060544650.545,42762.720840223024,2.492654724670655,7.973,8.5
2010-06-01,0.5,0.4868766666666666,1232.92,18.4548,7.74,34.54,2684060544650.545,42762.720840223024,2.492654724670655,7.973,8.5
2010-07-01,0.5,0.48978064516129033,1192.966,17.9605,8.04,23.5,2684060544650.545,42762.720840223024,2.492654724670655,7.973,8.5
2010-08-01,0.5,0.49166129032258066,1215.81,18.3877,8.45,26.05,2684060544650.545,42762.720840223024,2.492654724670655,7.973,8.5
2010-09-01,0.5,0.5012566666666667,1270.977,20.5498,8.28,23.7,2684060544650.545,42762.720840223024,2.492654724670655,7.973,8.5
2010-10-01,0.5,0.5094741935483871,1342.024,23.3933,8.29,21.2,2684060544650.545,42762.720840223024,2.492654724670655,7.973,8.5
2010-11-01,0.5,0.5089366666666667,1369.886,26.5409,8.59,23.54,2684060544650.545,42762.720840223024,2.492654724670655,7.973,8.5
2010-12-01,0.5,0.5171387096774194,1390.553,29.3248,8.74,17.75,2684060544650.545,42762.720840223024,2.492654724670655,7.973,8.5
2011-01-01,0.5,0.5094258064516128,1360.46,28.5086,9.61,19.53,2706913649065.854,42791.09343134741,3.8561124468282,8.195,8.5
2011-02-01,0.5,0.5092642857142857,1374.68,30.7785,9.36,18.35,2706913649065.854,42791.09343134741,3.8561124468282,8.195,8.5
2011-03-01,0.5,0.515758064516129,1423.26,35.8135,9.37,17.74,2706913649065.854,42791.09343134741,3.8561124468282,8.195,8.5
2011-04-01,0.5,0.5265633333333334,1480.89,42.6952,10.36,14.75,2706913649065.854,42791.09343134741,3.8561124468282,8.195,8.5
2011-05-01,0.5,0.5227903225806451,1512.58,37.3359,10.3,15.45,2706913649065.854,42791.09343134741,3.8561124468282,8.195,8.5
2011-06-01,0.5,0.5292600000000001,1529.36,35.795,10.26,16.52,2706913649065.854,42791.09343134741,3.8561124468282,8.195,8.5
2011-07-01,0.5,0.5248516129032258,1572.75,37.9171,10.99,25.25,2706913649065.854,42791.09343134741,3.8561124468282,8.195,8.5
2011-08-01,0.5,0.538132258064516,1759.01,40.3313,10.81,31.62,2706913649065.854,42791.09343134741,3.8561124468282,8.195,8.5
2011-09-01,0.5,0.54569,1772.14,38.1545,10.85,42.96,2706913649065.854,42791.09343134741,3.8561124468282,8.195,8.5
2011-10-01,0.5,0.5407967741935484,1666.43,31.9748,11.42,29.96,2706913649065.854,42791.09343134741,3.8561124468282,8.195,8.5
2011-11-01,0.5,0.53369,1739.0,33.0818,11.32,27.8,2706913649065.854,42791.09343134741,3.8561124468282,8.195,8.5
2011-12-01,0.5,0.5170935483870969,1639.97,30.3032,11.53,23.4,2706913649065.854,42791.09343134741,3.8561124468282,8.195,8.5
2012-01-01,0.5,0.5127129032258064,1654.05,30.6509,11.45,19.44,2748282336997.973,43136.70067959965,2.573234796545302,8.279,8.5
2012-02-01,0.5,0.49866206896551724,1744.82,34.1405,11.12,18.43,2748282336997.973,43136.70067959965,2.573234796545302,8.279,8.5
2012-03-01,0.5,0.48914838709677416,1675.95,32.9532,11.97,15.5,2748282336997.973,43136.70067959965,2.573234796545302,8.279,8.5
2012-04-01,0.5,0.4854266666666666,1649.2,31.5255,11.42,17.15,2748282336997.973,43136.70067959965,2.573234796545302,8.279,8.5
2012-05-01,0.5,0.48410645161290317,1589.04,28.7196,11.64,24.06,2748282336997.973,43136.70067959965,2.573234796545302,8.279,8.5
2012-06-01,0.5,0.48566000000000004,1598.76,27.9836,11.49,17.08,2748282336997.973,43136.70067959965,2.573234796545302,8.279,8.5
2012-07-01,0.5,0.46453548387096777,1594.29,27.4318,11.13,18.93,2748282336997.973,43136.70067959965,2.573234796545302,8.279,8.5
2012-08-01,0.5,0.4493967741935484,1630.31,28.8002,11.18,17.47,2748282336997.973,43136.70067959965,2.573234796545302,8.279,8.5
2012-09-01,0.5,0.4245333333333334,1744.81,33.6085,11.08,15.73,2748282336997.973,43136.70067959965,2.573234796545302,8.279,8.5
2012-10-01,0.5,0.4343129032258065,1746.58,33.1874,11.58,18.6,2748282336997.973,43136.70067959965,2.573234796545302,8.279,8.5
2012-11-01,0.5,0.4265366666666666,1721.64,32.7732,11.83,15.87,2748282336997.973,43136.70067959965,2.573234796545302,8.279,8.5
2012-12-01,0.5,0.4320516129032258,1684.762,31.8745,11.79,18.02,2748282336997.973,43136.70067959965,2.573234796545302,8.279,8.5
2013-01-01,0.5,0.4101451612903226,1671.84782608696,31.06173913043,11.87,14.28,2795510733841.0557,43585.19362386467,2.291666666666594,7.752,8.5
2013-02-01,0.5,0.42575357142857145,1627.57,30.3288,11.77,15.51,2795510733841.0557,43585.19362386467,2.291666666666594,7.752,8.5
2013-03-01,0.5,0.4334290322580645,1593.08619047619,28.79095238095,11.87,12.7,2795510733841.0557,43585.19362386467,2.291666666666594,7.752,8.5
2013-04-01,0.5,0.43945666666666666,1487.85727272727,25.355,12.88,13.52,2795510733841.0557,43585.19362386467,2.291666666666594,7.752,8.5
2013-05-01,0.5,0.4331806451612903,1414.02695652174,23.03826086957,12.29,16.3,2795510733841.0557,43585.19362386467,2.291666666666594,7.752,8.5
2013-06-01,0.5,0.42291333333333336,1343.35,21.109,11.92,16.86,2795510733841.0557,43585.19362386467,2.291666666666594,7.752,8.5
2013-07-01,0.5,0.4302290322580645,1285.51565217391,19.7102173913,11.6,13.45,2795510733841.0557,43585.19362386467,2.291666666666594,7.752,8.5
2013-08-01,0.5,0.4263096774193548,1351.74181818182,21.89386363636,11.64,17.01,2795510733841.0557,43585.19362386467,2.291666666666594,7.752,8.5
2013-09-01,0.5,0.42912666666666666,1348.6,22.5638,11.25,16.6,2795510733841.0557,43585.19362386467,2.291666666666594,7.752,8.5
2013-10-01,0.5,0.4312967741935484,1316.58,21.917,11.37,13.75,2795510733841.0557,43585.19362386467,2.291666666666594,7.752,8.5
2013-11-01,0.5,0.42917666666666665,1275.86,20.7576,11.42,13.7,2795510733841.0557,43585.19362386467,2.291666666666594,7.752,8.5
2013-12-01,0.5,0.4227,1221.5119047619,19.67,11.55,13.72,2795510733841.0557,43585.19362386467,2.291666666666594,7.752,8.5
2014-01-01,0.5,0.4241903225806452,1244.27,19.875,11.59,18.41,2883853723651.9795,44627.88182686443,1.451120162932792,6.398,8.5
2014-02-01,0.5,0.41949642857142855,1299.58,20.845,11.3,14.0,2883853723651.9795,44627.88182686443,1.451120162932792,6.398,8.5
2014-03-01,0.5,0.4149387096774194,1336.08,20.716,10.88,13.88,2883853723651.9795,44627.88182686443,1.451120162932792,6.398,8.5
2014-04-01,0.5,0.42218666666666665,1298.45,19.736,10.73,13.41,2883853723651.9795,44627.88182686443,1.451120162932792,6.398,8.5
2014-05-01,0.5,0.42331935483870964,1288.74,19.342,10.2,11.4,2883853723651.9795,44627.88182686443,1.451120162932792,6.398,8.5
2014-06-01,0.5,0.42762666666666665,1279.1,19.892,9.77,11.57,2883853723651.9795,44627.88182686443,1.451120162932792,6.398,8.5
2014-07-01,0.5,0.42753870967741936,1310.59,20.923,9.27,16.95,2883853723651.9795,44627.88182686443,1.451120162932792,6.398,8.5
2014-08-01,0.5,0.4208064516129032,1295.13,19.736,9.14,12.09,2883853723651.9795,44627.88182686443,1.451120162932792,6.398,8.5
2014-09-01,0.5,0.43249333333333334,1236.55,18.369,9.24,16.31,2883853723651.9795,44627.88182686443,1.451120162932792,6.398,8.5
2014-10-01,0.5,0.43048387096774193,1222.49,17.163,9.77,14.03,2883853723651.9795,44627.88182686443,1.451120162932792,6.398,8.5
2014-11-01,0.5,0.43101333333333336,1175.33,15.966,8.9,13.33,2883853723651.9795,44627.88182686443,1.451120162932792,6.398,8.5
