Fecha,PIB_growth,PIBpc_growth,Inflacion,Desempleo,Rating,VIX,Oro,Plata,Gas,OIS,y_regression,y_classification
2003-09-01,2.795605963200831,1.9158824750841408,2.270094973361147,5.989,9.5,22.72,378.945,5.1708,4.612727,1.01,1.01,Estable
2003-10-01,2.795605963200831,1.9158824750841408,2.270094973361147,5.989,9.5,16.1,378.92,5.0022,4.635652,1.01,0.996,Estable
2003-11-01,2.795605963200831,1.9158824750841408,2.270094973361147,5.989,9.5,16.32,389.91,5.1777,4.5275,0.996,0.9841935483870968,Estable
2003-12-01,2.795605963200831,1.9158824750841408,2.270094973361147,5.989,9.5,18.31,406.953,5.6276,6.126522,0.9841935483870968,0.9970967741935484,Estable
2004-01-01,3.847771695569202,2.891110915819173,2.677236693091719,5.529,9.5,16.63,413.788,6.3005,6.09477272727,0.9970967741935484,1.007241379310345,Estable
2004-02-01,3.847771695569202,2.891110915819173,2.677236693091719,5.529,9.5,14.55,404.878,6.4406,5.3795,1.007241379310345,1.0016129032258063,Estable
2004-03-01,3.847771695569202,2.891110915819173,2.677236693091719,5.529,9.5,16.74,406.667,7.2254,5.39686956522,1.0016129032258063,1.004,Estable
2004-04-01,3.847771695569202,2.891110915819173,2.677236693091719,5.529,9.5,17.19,403.26,7.1486,5.71652173913,1.004,1.0045161290322582,Estable
2004-05-01,3.847771695569202,2.891110915819173,2.677236693091719,5.529,9.5,15.5,383.779,5.8674,6.33595238095,1.0045161290322582,1.0256666666666667,Estable
2004-06-01,3.847771695569202,2.891110915819173,2.677236693091719,5.529,9.5,14.34,392.373,5.8618,6.27159090909,1.0256666666666667,1.2635483870967743,Sube
2004-07-01,3.847771695569202,2.891110915819173,2.677236693091719,5.529,9.5,15.32,398.091,6.3141,5.92863636364,1.2635483870967743,1.4293548387096775,Sube
2004-08-01,3.847771695569202,2.891110915819173,2.677236693091719,5.529,9.5,15.29,400.51,6.66,5.39568181818,1.4293548387096775,1.605,Sube
2004-09-01,3.847771695569202,2.891110915819173,2.677236693091719,5.529,9.5,13.34,405.275,6.4034,5.13886363636,1.605,1.760967741935484,Sube
2004-10-01,3.847771695569202,2.891110915819173,2.677236693091719,5.529,9.5,16.27,420.464,7.095,6.41166666667,1.760967741935484,1.932,Sube
2004-11-01,3.847771695569202,2.891110915819173,2.677236693091719,5.529,9.5,13.24,439.375,7.4926,6.08704545455,1.932,2.1561290322580646,Sube
2004-12-01,3.847771695569202,2.891110915819173,2.677236693091719,5.529,9.5,13.29,442.079,7.085,6.58130434783,2.1561290322580646,2.2793548387096774,Estable
2005-01-01,3.4835499355560406,2.5341107048215905,3.392746845495504,5.084,9.5,12.82,424.03,6.619,6.15452380952,2.2793548387096774,2.501785714285714,Sube
2005-02-01,3.4835499355560406,2.5341107048215905,3.392746845495504,5.084,9.5,12.08,423.35,7.03,6.14475,2.501785714285714,2.629032258064516,Sube
2005-03-01,3.4835499355560406,2.5341107048215905,3.392746845495504,5.084,9.5,14.02,433.85,7.2282,6.96804347826,2.629032258064516,2.785,Sube
2005-04-01,3.4835499355560406,2.5341107048215905,3.392746845495504,5.084,9.5,15.31,429.233,7.1188,7.15261904762,2.785,3.00258064516129,Sube
2005-05-01,3.4835499355560406,2.5341107048215905,3.392746845495504,5.084,9.5,13.29,421.873,7.0224,6.46931818182,3.00258064516129,3.0356666666666663,Estable
2005-06-01,3.4835499355560406,2.5341107048215905,3.392746845495504,5.084,9.5,12.04,430.657,7.3105,7.18613636364,3.0356666666666663,3.2625806451612904,Sube
2005-07-01,3.4835499355560406,2.5341107048215905,3.392746845495504,5.084,9.5,11.57,424.479,7.0145,7.62619047619,3.2625806451612904,3.4996774193548386,Sube
2005-08-01,3.4835499355560406,2.5341107048215905,3.392746845495504,5.084,9.5,12.6,437.93,7.0334,9.6297826087,3.4996774193548386,3.623,Estable
2005-09-01,3.4835499355560406,2.5341107048215905,3.392746845495504,5.084,9.5,11.92,456.048,7.1536,12.87568181818,3.623,3.779354838709677,Sube
2005-10-01,3.4835499355560406,2.5341107048215905,3.392746845495504,5.084,9.5,15.32,469.898,7.6705,13.52261904762,3.779354838709677,3.999,Sube
2005-11-01,3.4835499355560406,2.5341107048215905,3.392746845495504,5.084,9.5,12.06,476.666,7.8725,10.43090909091,3.999,4.1570967741935485,Sube
2005-12-01,3.4835499355560406,2.5341107048215905,3.392746845495504,5.084,9.5,12.07,510.097,8.627,12.8275,4.1570967741935485,4.285161290322581,Sube
2006-01-01,2.784539636507022,1.7981987445630843,3.22594410070404,4.623,9.5,12.95,549.864,9.1391,8.66090909091,4.285161290322581,4.491428571428572,Sube
2006-02-01,2.784539636507022,1.7981987445630843,3.22594410070404,4.623,9.5,12.34,554.995,9.5349,7.48785714286,4.491428571428572,4.589354838709677,Estable
2006-03-01,2.784539636507022,1.7981987445630843,3.22594410070404,4.623,9.5,11.39,557.093,10.3838,6.89891304348,4.589354838709677,4.790333333333334,Sube
2006-04-01,2.784539636507022,1.7981987445630843,3.22594410070404,4.623,9.5,11.59,610.653,12.6144,7.094,4.790333333333334,4.940322580645161,Sube
2006-05-01,2.784539636507022,1.7981987445630843,3.22594410070404,4.623,9.5,16.44,675.393,13.3772,6.19804347826,4.940322580645161,4.991,Estable
2006-06-01,2.784539636507022,1.7981987445630843,3.22594410070404,4.623,9.5,13.08,596.145,10.7964,6.19318181818,4.991,5.235161290322581,Sube
2006-07-01,2.784539636507022,1.7981987445630843,3.22594410070404,4.623,9.5,14.95,633.71,11.2324,6.25,5.235161290322581,5.2464516129032255,Estable
2006-08-01,2.784539636507022,1.7981987445630843,3.22594410070404,4.623,9.5,12.31,632.593,12.1874,6.995,5.2464516129032255,5.254666666666666,Estable
2006-09-01,2.784539636507022,1.7981987445630843,3.22594410070404,4.623,9.5,11.98,598.186,11.6769,4.86238095238,5.254666666666666,5.245161290322581,Estable
2006-10-01,2.784539636507022,1.7981987445630843,3.22594410070404,4.623,9.5,11.1,585.78,11.5586,5.9625,5.245161290322581,5.245666666666667,Estable
